timestamp,/sys/class/thermal/thermal_zone0/temp,/sys/devices/system/cpu/cpu0/cpufreq/cpuinfo_cur_freq,/sys/devices/platform/cpu-throttle-alert/thermal_trip_event,/sys/class/thermal/thermal_zone1/temp,/sys/class/devfreq/17000000.gpu/cur_freq,/sys/devices/platform/gpu-throttle-alert/thermal_trip_event
2025-09-29T15:54:21+09:00,81937,2201600,0,77000,1300500000,0
2025-09-29T15:54:31+09:00,82343,2201600,0,77062,1300500000,0
2025-09-29T15:54:41+09:00,82093,2201600,0,77125,1300500000,0
2025-09-29T15:54:51+09:00,82250,2201600,0,77125,1300500000,0
2025-09-29T15:55:01+09:00,82156,2201600,0,77218,1300500000,0
2025-09-29T15:55:11+09:00,82187,2201600,0,77375,1300500000,0
2025-09-29T15:55:21+09:00,82343,2201600,0,77375,1300500000,0
2025-09-29T15:55:31+09:00,82343,2201600,0,77375,1300500000,0
2025-09-29T15:55:41+09:00,82250,2201600,0,77500,1300500000,0
2025-09-29T15:55:51+09:00,82500,2201600,0,77812,1300500000,0
2025-09-29T15:56:01+09:00,82468,2201600,0,77781,1300500000,0
2025-09-29T15:56:11+09:00,82375,2201600,0,77875,1300500000,0
2025-09-29T15:56:21+09:00,82593,2201600,0,77718,1300500000,0
2025-09-29T15:56:31+09:00,82593,2201600,0,77843,1300500000,0
2025-09-29T15:56:41+09:00,82593,2201600,0,77875,1300500000,0
2025-09-29T15:56:51+09:00,82781,2201600,0,78156,1300500000,0
2025-09-29T15:57:01+09:00,82625,2201600,0,78250,1300500000,0
2025-09-29T15:57:11+09:00,82687,2201600,0,77875,1300500000,0
2025-09-29T15:57:21+09:00,82875,2201600,0,78031,1300500000,0
2025-09-29T15:57:31+09:00,83062,2201600,0,78187,1300500000,0
2025-09-29T15:57:41+09:00,83093,2201600,0,78156,1300500000,0
2025-09-29T15:57:51+09:00,82968,2201600,0,78000,1300500000,0
2025-09-29T15:58:01+09:00,83156,2201600,0,78281,1300500000,0
2025-09-29T15:58:11+09:00,83093,2201600,0,78156,1300500000,0
2025-09-29T15:58:21+09:00,83093,2201600,0,78375,1300500000,0
2025-09-29T15:58:31+09:00,83375,2201600,0,78468,1300500000,0
2025-09-29T15:58:41+09:00,83156,2201600,0,78500,1300500000,0
2025-09-29T15:58:51+09:00,83187,2201600,0,78343,1300500000,0
2025-09-29T15:59:01+09:00,83562,2201600,0,78531,1300500000,0
2025-09-29T15:59:11+09:00,83343,2201600,0,78468,1300500000,0
2025-09-29T15:59:21+09:00,83375,2201600,0,78718,1300500000,0
2025-09-29T15:59:31+09:00,83468,2201600,0,78812,1300500000,0
2025-09-29T15:59:41+09:00,83468,2201600,0,78625,1300500000,0
2025-09-29T15:59:51+09:00,83375,2201600,0,78718,1300500000,0
